county,name,year,population
10,Blekinge län,2005,150696.0
10,Blekinge län,2006,151436.0
10,Blekinge län,2007,151900.0
10,Blekinge län,2008,152259.0
10,Blekinge län,2009,152591.0
10,Blekinge län,2010,153227.0
10,Blekinge län,2011,152979.0
10,Blekinge län,2012,152315.0
10,Blekinge län,2013,152757.0
10,Blekinge län,2014,154157.0
10,Blekinge län,2015,156253.0
12,Skåne län,1968,960711.0
12,Skåne län,1969,971809.0
12,Skåne län,1970,983753.0
12,Skåne län,1971,991355.0
12,Skåne län,1972,996197.0
12,Skåne län,1973,999947.0
12,Skåne län,1974,1007685.0
12,Skåne län,1975,1012083.0
12,Skåne län,1976,1013623.0
12,Skåne län,1977,1017504.0
12,Skåne län,1978,1019721.0
12,Skåne län,1979,1022050.0
12,Skåne län,1980,1023479.0
12,Skåne län,1981,1023630.0
12,Skåne län,1982,1024635.0
12,Skåne län,1983,1025814.0
12,Skåne län,1984,1027470.0
12,Skåne län,1985,1030494.0
12,Skåne län,1986,1033684.0
12,Skåne län,1987,1039550.0
12,Skåne län,1988,1047167.0
12,Skåne län,1989,1058015.0
12,Skåne län,1990,1068587.0
12,Skåne län,1991,1078225.0
12,Skåne län,1992,1086689.0
12,Skåne län,1993,1093367.0
12,Skåne län,1994,1105986.0
12,Skåne län,1995,1111731.0
12,Skåne län,1996,1114368.0
12,Skåne län,1997,1116603.0
12,Skåne län,1998,1120426.0
12,Skåne län,1999,1123786.0
12,Skåne län,2000,1129424.0
12,Skåne län,2001,1136571.0
12,Skåne län,2002,1145090.0
12,Skåne län,2003,1152697.0
12,Skåne län,2004,1160919.0
12,Skåne län,2005,1169464.0
12,Skåne län,2006,1184500.0
12,Skåne län,2007,1199357.0
12,Skåne län,2008,1214758.0
12,Skåne län,2009,1231062.0
12,Skåne län,2010,1243329.0
12,Skåne län,2011,1252933.0
12,Skåne län,2012,1263088.0
12,Skåne län,2013,1274069.0
12,Skåne län,2014,1288908.0
12,Skåne län,2015,1303627.0
13,Hallands län,1968,191606.0
13,Hallands län,1969,195546.0
